"ISI","ISI_extra","acc","accuracy","average_response_time","avg_rt","background","bidi","blank_dur","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_press","count_after_blank","count_blank","count_blank_1","count_block_loop","count_block_sequence","count_cross","count_cross_1","count_end_of_experiment","count_end_trigger_experiment","count_experiment","count_face","count_face_1","count_final","count_fixation_cross","count_instructions","count_logger","count_practice_loop","count_press","count_press_1","count_reset_feedback","count_settings","count_trial_sequence","count_trigger_experiment","count_trigger_practice","datetime","description","disable_garbage_collection","durface","experiment_file","experiment_path","face","fig","fix_dur","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_loop","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","postfix_dur","practice","repeat_cycle","response","response_end_of_experiment","response_instructions","response_press","response_press_1","response_time","response_time_end_of_experiment","response_time_instructions","response_time_press","response_time_press_1","round_decimals","sampler_backend","sorted","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","test_mode","time_after_blank","time_blank","time_blank_1","time_block_loop","time_block_sequence","time_cross","time_cross_1","time_end_of_experiment","time_end_trigger_experiment","time_experiment","time_face","time_face_1","time_final","time_fixation_cross","time_instructions","time_logger","time_practice_loop","time_press","time_press_1","time_reset_feedback","time_settings","time_trial_sequence","time_trigger_experiment","time_trigger_practice","title","total_correct","total_response_time","total_responses","trials_to_pause","trigger_interval","uniform_coordinates","width"
"2279","267","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","10","NA","10","0","0","10","NA","0","0","0","10","10","0","10","0","10","0","0","10","0","0","10","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","n","062.i.jpg","495","no","Courier New","no","32","no","black","no","yes","768","legacy","10","10","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","92884","NA","90384","49853","49853","89418","NA","NA","NA","3310","90186","90186","NA","89418","3365","92884","49845","13918","NA","NA","3310","89414","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2134","12","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","11","NA","11","0","0","11","NA","0","0","0","11","11","0","11","0","11","0","0","11","0","0","11","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","y","m066.gif","495","no","Courier New","no","32","no","black","no","yes","768","legacy","11","11","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","96523","NA","94023","49853","49853","93313","NA","NA","NA","3310","93826","93826","NA","93313","3365","96523","49845","13918","NA","NA","3310","93310","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2158","497","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","12","NA","12","0","0","12","NA","0","0","0","12","12","0","12","0","12","0","0","12","0","0","12","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","n","011.i.jpg","495","no","Courier New","no","32","no","black","no","yes","768","legacy","12","12","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","100664","NA","98164","49853","49853","96968","NA","NA","NA","3310","97966","97967","NA","96968","3365","100664","49845","13918","NA","NA","3310","96965","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2468","287","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","13","NA","13","0","0","13","NA","0","0","0","13","13","0","13","0","13","0","0","13","0","0","13","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","n","stereo14.gif","495","no","Courier New","no","32","no","black","no","yes","768","legacy","13","13","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","104588","NA","102088","49853","49853","101102","NA","NA","NA","3310","101890","101891","NA","101102","3365","104588","49845","13918","NA","NA","3310","101099","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2408","487","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","14","NA","14","0","0","14","NA","0","0","0","14","14","0","14","0","14","0","0","14","0","0","14","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","n","042.i.jpg","495","no","Courier New","no","32","no","black","no","yes","768","legacy","14","14","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","108718","NA","106218","49853","49853","105032","NA","NA","NA","3310","106021","106021","NA","105032","3365","108718","49845","13918","NA","NA","3310","105029","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2421","6","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","15","NA","15","0","0","15","NA","0","0","0","15","15","0","15","0","15","0","0","15","0","0","15","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","n","image3.i.fen.gif","495","no","Courier New","no","32","no","black","no","yes","768","legacy","15","15","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","112377","NA","109877","49853","49853","109173","NA","NA","NA","3310","109680","109680","NA","109172","3365","112377","49845","13918","NA","NA","3310","109169","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2170","490","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","16","NA","16","0","0","16","NA","0","0","0","16","16","0","16","0","16","0","0","16","0","0","16","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","y","f037.gif","495","no","Courier New","no","32","no","black","no","yes","768","legacy","16","16","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","116503","NA","114003","49853","49853","112814","NA","NA","NA","3310","113806","113806","NA","112814","3365","116503","49845","13918","NA","NA","3310","112811","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2484","119","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","17","NA","17","0","0","17","NA","0","0","0","17","17","0","17","0","17","0","0","17","0","0","17","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","y","f082.gif","495","no","Courier New","no","32","no","black","no","yes","768","legacy","17","17","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","120255","NA","117755","49853","49853","116937","NA","NA","NA","3310","117557","117557","NA","116937","3365","120255","49845","13918","NA","NA","3310","116934","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2268","407","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","18","NA","18","0","0","18","NA","0","0","0","18","18","0","18","0","18","0","0","18","0","0","18","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","y","m099.gif","495","no","Courier New","no","32","no","black","no","yes","768","legacy","18","18","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","124309","NA","121809","49853","49853","120704","NA","NA","NA","3310","121612","121612","NA","120704","3365","124309","49845","13918","NA","NA","3310","120700","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2464","58","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","19","NA","19","0","0","19","NA","0","0","0","19","19","0","19","0","19","0","0","19","0","0","19","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","n","003.i.jpg","495","no","Courier New","no","32","no","black","no","yes","768","legacy","19","19","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","128010","NA","125509","49853","49853","124753","NA","NA","NA","3310","125312","125312","NA","124752","3365","128010","49845","13918","NA","NA","3310","124749","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2165","378","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","20","NA","20","0","0","20","NA","0","0","0","20","20","0","20","0","20","0","0","20","0","0","20","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","y","f093.gif","495","no","Courier New","no","32","no","black","no","yes","768","legacy","20","20","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","132043","NA","129543","49853","49853","128467","NA","NA","NA","3310","129346","129346","NA","128466","3365","132043","49845","13918","NA","NA","3310","128463","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2086","199","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","21","NA","21","0","0","21","NA","0","0","0","21","21","0","21","0","21","0","0","21","0","0","21","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","y","m076.gif","495","no","Courier New","no","32","no","black","no","yes","768","legacy","21","21","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","135889","NA","133389","49853","49853","132491","NA","NA","NA","3310","133191","133191","NA","132491","3365","135889","49845","13918","NA","NA","3310","132488","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2359","492","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","22","NA","22","0","0","22","NA","0","0","0","22","22","0","22","0","22","0","0","22","0","0","22","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","n","023.i.jpg","495","no","Courier New","no","32","no","black","no","yes","768","legacy","22","22","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","140027","NA","137527","49853","49853","136337","NA","NA","NA","3310","137330","137330","NA","136337","3365","140027","49845","13918","NA","NA","3310","136333","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2244","199","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","23","NA","23","0","0","23","NA","0","0","0","23","23","0","23","0","23","0","0","23","0","0","23","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","y","m060.gif","495","no","Courier New","no","32","no","black","no","yes","768","legacy","23","23","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","143874","NA","141374","49853","49853","140476","NA","NA","NA","3310","141176","141176","NA","140476","3365","143874","49845","13918","NA","NA","3310","140473","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2351","100","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","24","NA","24","0","0","24","NA","0","0","0","24","24","0","24","0","24","0","0","24","0","0","24","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","y","m073.gif","495","no","Courier New","no","32","no","black","no","yes","768","legacy","24","24","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","147612","NA","145112","49853","49853","144314","NA","NA","NA","3310","144915","144915","NA","144314","3365","147612","49845","13918","NA","NA","3310","144311","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2233","264","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","25","NA","25","0","0","25","NA","0","0","0","25","25","0","25","0","25","0","0","25","0","0","25","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","y","m064.gif","495","no","Courier New","no","32","no","black","no","yes","768","legacy","25","25","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","151510","NA","149010","49853","49853","148048","NA","NA","NA","3310","148813","148813","NA","148048","3365","151510","49845","13918","NA","NA","3310","148044","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2065","375","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","26","NA","26","0","0","26","NA","0","0","0","26","26","0","26","0","26","0","0","26","0","0","26","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","y","m056.gif","495","no","Courier New","no","32","no","black","no","yes","768","legacy","26","26","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","155535","NA","153035","49853","49853","151961","NA","NA","NA","3310","152838","152838","NA","151961","3365","155535","49845","13918","NA","NA","3310","151958","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
